INDEX,YEAR,MN,DT,..MAX,..MIN,AW,..R/F
43321,1994,3,28,36.3,24.2,8,0
43321,1994,3,29,38,23.6,8,0
43321,1994,3,30,36.3,24.9,8,0
43321,1994,3,31,35.9,23.4,9,0
43321,1994,4,1,36.7,23.5,8,0
43321,1994,4,2,36.2,23.8,10,0
43321,1994,4,3,36,22.5,6,5.4
43321,1994,4,4,34.3,24.2,7,0
43321,1994,4,5,35.7,24.2,8,0
43321,1994,4,6,35.1,22.8,8,0
43321,1994,4,7,36.2,22.8,6,0
43321,1994,4,8,35.3,22.6,8,0
43321,1994,4,9,33.5,22.2,6,3.1
43321,1994,4,10,33.8,23.1,6,14.9
43321,1994,4,11,34.2,20,6,69.4
43321,1994,4,12,32.8,20.8,6,10.9
43321,1994,4,13,32,23,6,0
43321,1994,4,14,34.2,22.7,5,0
43321,1994,4,15,34.7,23.4,8,0
43321,1994,4,16,33.5,24.4,7,0
43321,1994,4,17,34.8,22.8,8,0.6
43321,1994,4,18,36,24.8,10,0.1
43335,1994,4,19,32.8,24.2,,0
43321,1994,4,20,34,22.8,9,0
43321,1994,4,21,35.5,24.2,10,0
43321,1994,4,22,35.2,24,12,0
43321,1994,4,23,35.9,24.3,11,0
43321,1994,4,24,36,23.1,9,1.4
43321,1994,4,25,35.4,24,11,0
43321,1994,4,26,35.3,24.2,12,0
43321,1994,4,27,36.9,24.2,9,0
43321,1994,4,28,36.3,24.6,8,0
43321,1994,4,29,35.6,22.2,7,0
43321,1994,4,30,35.7,22.4,9,3
43321,1994,5,1,34.5,23.3,8,1.4
43321,1994,5,2,34.8,23.2,10,0
43321,1994,5,3,35.9,23.5,11,0
43321,1994,5,4,35.8,23.9,10,0
43321,1994,5,5,35.1,23.8,12,0
43321,1994,5,6,35.4,24.1,12,0
43321,1994,5,7,36.2,23,11,2.2
43321,1994,5,8,35.1,24.4,10,0
43321,1994,5,9,34.8,23.1,11,0
43321,1994,5,10,35.2,23.7,13,0
43321,1994,5,11,35.6,23.2,14,0
43321,1994,5,12,36,24.7,13,0
43321,1994,5,13,36.7,24.6,14,0
43321,1994,5,14,36.5,21.8,14,40.3
43321,1994,5,15,33.3,24.4,12,0
43321,1994,5,16,32.3,24.5,12,0
43321,1994,5,17,34.4,24.9,12,0
43321,1994,5,18,34.9,23,11,0.5
43321,1994,5,19,35,23.6,14,0
43321,1994,5,20,35.3,24.9,10,0
43321,1994,5,21,35.3,21.6,12,2.2
43321,1994,5,22,33.8,24.3,10,0
43321,1994,5,23,35.2,23.8,14,0
43321,1994,5,24,35,24.4,14,0
43321,1994,5,25,35,24.2,15,0
43321,1994,5,26,35.1,24.6,14,0
43321,1994,5,27,33.7,22.4,10,13.7
43321,1994,5,28,32.1,24,7,0.3
43321,1994,5,29,32.8,22.4,12,0
43321,1994,5,30,32.4,22.7,15,0
43321,1994,5,31,33.5,23.8,20,0
43335,1994,6,1,28.8,22.6,,4.8
43335,1994,6,2,27.4,22.2,,22.4
43335,1994,6,3,26.4,23,,58.4
43335,1994,6,4,29.6,22.4,,22.2
43321,1994,6,5,30,22.6,15,3.4
43321,1994,6,6,28.2,22.2,13,0.1
43321,1994,6,7,28.8,22.4,12,0.5
43321,1994,6,8,31.3,22.5,16,0.1
43321,1994,6,9,30.5,22,14,0
43321,1994,6,10,33.1,21.1,19,0
43321,1994,6,11,29.2,22.5,15,0
43321,1994,6,12,32.1,21.9,16,1.2
43321,1994,6,13,31.3,21.4,12,0.2
43321,1994,6,14,31.3,22.8,19,0
43321,1994,6,15,30,21.7,13,0.8
43335,1994,6,16,29.8,23.2,,6.8
43321,1994,6,17,32.2,22.5,15,0
43321,1994,6,18,33.1,22.7,14,0
43321,1994,6,19,33.4,23,15,0
43321,1994,6,20,33.2,22.5,18,0
43321,1994,6,21,33.6,22.4,14,0
43321,1994,6,22,32.8,22.8,14,0
43321,1994,6,23,33.5,21.8,15,0
43321,1994,6,24,32.3,22.4,18,0
43321,1994,6,25,32.5,22.4,18,0
43321,1994,6,26,32.6,22.4,17,0
43321,1994,6,27,32.9,22.2,12,0.2
43321,1994,6,28,31.8,23,16,0
43321,1994,6,29,32.6,21.8,15,5.9
43321,1994,6,30,30.9,21.1,15,0.7
43321,1994,7,1,31.9,21.1,15,0
43321,1994,7,2,32.2,21.5,15,0
43321,1994,7,3,28.8,22.4,15,0
43321,1994,7,4,29.1,21.4,15,0
43321,1994,7,5,31.8,20.4,14,0
43321,1994,7,6,32.3,22,18,0
43321,1994,7,7,32.9,21.8,10,0.8
43321,1994,7,8,31,22,16,0
43321,1994,7,9,30.5,22.2,15,0
43321,1994,7,10,33,21.5,18,0
43321,1994,7,11,31.2,21.5,16,6.8
43321,1994,7,12,25.6,21.4,11,9.4
43321,1994,7,13,29.8,22,11,8.9
43321,1994,7,14,28.2,21,10,29.1
43321,1994,7,15,29,21.4,12,7
43321,1994,7,16,28.6,21.4,14,0
43321,1994,7,17,32,20.2,16,0
43321,1994,7,18,30.8,21.4,10,0
43321,1994,7,19,31.2,22,14,0
43321,1994,7,20,30.1,20.3,16,2.6
43321,1994,7,21,30.4,21.1,16,0
43321,1994,7,22,29,21.5,18,0
43321,1994,7,23,31.6,21.4,17,0
43321,1994,7,24,28.5,22,15,0
43321,1994,7,25,30.5,22.5,14,0
43321,1994,7,26,30,22,16,0
43321,1994,7,27,31.2,22,14,0
43321,1994,7,28,27.2,21.6,15,1.2
43321,1994,7,29,27.8,21.4,17,0
43321,1994,7,30,27.9,21.2,15,3.7
43321,1994,7,31,26.4,21.6,8,1
43321,1994,8,1,28.8,21.5,11,0
43321,1994,8,2,32,21.9,17,0
43321,1994,8,3,29.5,21.2,16,0
43321,1994,8,4,29.8,21.9,16,0
43321,1994,8,5,30.8,21.5,15,0
43321,1994,8,6,31.1,22.4,16,0
43321,1994,8,7,30.5,22.5,16,0
43321,1994,8,8,32.2,22.6,15,0
43321,1994,8,9,32.7,21.8,16,0
43321,1994,8,10,32.3,22.4,19,0
43321,1994,8,11,31.4,22.1,18,0
43321,1994,8,12,31.5,22,15,0
43321,1994,8,13,32.4,22.5,15,0
43321,1994,8,14,31.9,22,10,0
43321,1994,8,15,33.8,22.5,14,0
43321,1994,8,16,33.6,22.6,14,0
43321,1994,8,17,32.6,22.5,16,0
43321,1994,8,18,29.8,21.1,15,0
43321,1994,8,19,27.9,21.3,16,0
43321,1994,8,20,30.2,21.4,14,0
43321,1994,8,21,31.3,21.8,15,0
43321,1994,8,22,30.4,21.2,14,1.2
43321,1994,8,23,30.3,21.2,14,0
43321,1994,8,24,30.2,21.2,14,0
43321,1994,8,25,32.5,22.3,15,0
43321,1994,8,26,32.1,22.1,15,0
43321,1994,8,27,31.9,22.5,18,0
43321,1994,8,28,30.2,22.6,16,0
43321,1994,8,29,32,21.4,15,0
43321,1994,8,30,32.4,21.6,17,0.4
43321,1994,8,31,29.2,21.8,15,0.1
43321,1994,9,1,32,21.4,17,1.2
43321,1994,9,2,31.3,22.3,14,0
43321,1994,9,3,31.7,21.7,14,0
43321,1994,9,4,32.2,22.6,14,0
43321,1994,9,5,31.2,21.4,16,0
43321,1994,9,6,32.3,21.5,15,0
43321,1994,9,7,32.8,21.5,12,5.6
43321,1994,9,8,31.9,22.2,16,0
43321,1994,9,9,33,22.2,13,2.4
43321,1994,9,10,33,22.5,13,0
43321,1994,9,11,32.7,22.4,12,0
43321,1994,9,12,33.8,22.8,12,0
43321,1994,9,13,34,22.1,13,0
43321,1994,9,14,33.8,22.4,14,0
43321,1994,9,15,32.9,21.9,15,0
43321,1994,9,16,32.3,21,13,0
43321,1994,9,17,33,20.9,13,0
43321,1994,9,18,32.7,20.5,14,0
43321,1994,9,19,33.7,21.2,13,0
43321,1994,9,20,32,20.6,14,0
43321,1994,9,21,33.4,21.6,13,0
43321,1994,9,22,34.5,22.1,11,0
43321,1994,9,23,34.7,22.8,12,0
43321,1994,9,24,34.2,22.4,9,0
43321,1994,9,25,34.7,22.6,7,5.6
43321,1994,9,26,34.7,22.5,10,0
43321,1994,9,27,33.3,22.5,9,0.7
43321,1994,9,28,34.6,22.4,8,12.3
43321,1994,9,29,34.6,21.6,9,2.9
43321,1994,9,30,34.2,21.4,6,1.3
43321,1994,10,1,34.3,22.2,6,0.7
43321,1994,10,2,33,21.6,4,25.3
43321,1994,10,3,31.6,22.8,5,0
43321,1994,10,4,31.3,22.6,6,3.4
43321,1994,10,5,27.6,22.8,10,0.3
43321,1994,10,6,30,21.6,13,0
43321,1994,10,7,31.5,22.6,13,0
43321,1994,10,8,30.7,21.8,11,0
43321,1994,10,9,34.8,22.8,7,0
43321,1994,10,10,34,22.6,6,0
43321,1994,10,11,33.2,21.9,7,1.8
43321,1994,10,12,32.7,21.4,7,6.2
43321,1994,10,13,32.7,22.2,6,1.6
43321,1994,10,14,32.9,22,7,0
43321,1994,10,15,32.2,22.2,9,6
43321,1994,10,16,31.4,22,6,12.6
43321,1994,10,17,31.2,22.1,4,5
43321,1994,10,18,30.8,22.4,6,0
43321,1994,10,19,30.2,21.6,6,0
43321,1994,10,20,30,20.5,4,35.8
43321,1994,10,21,30,22.1,5,0
43321,1994,10,22,30.6,21.6,4,3.7
43321,1994,10,23,31,20.6,6,46.8
43321,1994,10,24,30.6,23,5,0
43321,1994,10,25,31.6,22,5,0
43321,1994,10,26,31.2,21.8,5,3.4
43321,1994,10,27,32,20.6,5,48.7
43321,1994,10,28,29.5,22.2,4,5.2
43321,1994,10,29,29,21.4,5,1.3
43321,1994,10,30,29.4,20.6,5,0.2
43321,1994,10,31,30.4,21.1,6,1
43321,1994,11,1,30.8,21.5,4,46.8
43321,1994,11,2,28.6,22,4,32.3
43321,1994,11,3,28.8,21,4,71
43321,1994,11,4,29,21.9,4,2.3
43321,1994,11,5,27.9,21.1,3,14.9
43321,1994,11,6,26.2,20,6,12.8
43321,1994,11,7,22.7,20.4,4,16.7
43321,1994,11,8,29,20.3,6,2.8
43321,1994,11,9,27.9,20.6,3,0.8
43321,1994,11,10,28,20.8,6,4.2
43321,1994,11,11,26.8,20.6,8,0.1
43321,1994,11,12,26,20.4,5,14.6
43321,1994,11,13,25.2,21,4,10.1
43321,1994,11,14,29.4,20.3,6,0.1
43321,1994,11,15,29.4,20.8,6,0
43321,1994,11,16,29.4,20.6,6,0
43321,1994,11,17,29,21.5,5,0.4
43321,1994,11,18,28.7,20.9,5,0
43321,1994,11,19,29.5,20.6,7,0
43321,1994,11,20,29.4,21.4,7,0
43321,1994,11,21,29.3,20.2,5,0
43321,1994,11,22,29.7,20.6,6,0
43321,1994,11,23,29.8,20.1,7,0
43321,1994,11,24,30,18.6,6,0
43321,1994,11,25,30.8,18.6,6,0
43321,1994,11,26,29.9,19.7,5,0
43321,1994,11,27,31.2,19.9,4,0
43321,1994,11,28,29.6,18.4,4,0
43321,1994,11,29,28,17.3,4,0
43321,1994,11,30,30.9,18.9,3,0
43321,1994,12,1,31.8,19.2,1,0
43321,1994,12,2,30.8,18,3,0
43321,1994,12,3,30.1,16.9,5,0
43321,1994,12,4,28.8,17.1,3,0
43321,1994,12,5,28.6,16,4,0
43321,1994,12,6,29.2,16.4,4,0
43321,1994,12,7,28.8,19.5,5,0
43321,1994,12,8,29.2,17.5,4,0
43321,1994,12,9,29.4,16.5,4,0
43321,1994,12,10,30,16.8,3,0
43321,1994,12,11,30.9,16.2,5,0
43321,1994,12,12,29.6,15.6,5,0
43321,1994,12,13,29.2,15.6,5,0
43321,1994,12,14,27.8,15.6,6,0
43321,1994,12,15,29.2,15.8,11,0
43321,1994,12,16,29.8,16.4,5,0
43321,1994,12,17,30.3,19,4,0
43321,1994,12,18,30,20.4,5,0
43321,1994,12,19,30.8,21.6,8,0
43321,1994,12,20,29.2,21.5,6,0.1
43321,1994,12,21,30,19.6,6,0.2
43321,1994,12,22,26,20.8,5,3.4
43321,1994,12,23,27.6,20.2,6,0
43321,1994,12,24,29.8,19,7,0
43321,1994,12,25,28.2,18.4,6,0
43321,1994,12,26,28,17.6,5,0
43321,1994,12,27,30.6,19.5,7,0
43321,1994,12,28,30,19,6,0
43321,1994,12,29,30,18.9,7,0
43321,1994,12,30,29.6,17.2,5,0
43321,1994,12,31,30.1,18.2,6,0
43321,1995,1,1,29.4,16.6,5,0
43321,1995,1,2,28.2,14.6,4,0
43321,1995,1,3,28.8,14.2,4,0
43321,1995,1,4,29.9,18.5,4,0
43321,1995,1,5,30,20.4,6,0
43321,1995,1,6,29.6,20.8,11,0
43321,1995,1,7,29,18.8,6,0
43321,1995,1,8,30,21.3,6,0
43321,1995,1,9,31.6,21.6,5,39.4
43321,1995,1,10,31.5,21.9,3,0
43321,1995,1,11,31.7,22,6,0
43321,1995,1,12,31.4,20.6,4,0
43321,1995,1,13,32.8,19,5,0
43321,1995,1,14,31.4,21.3,7,0
43321,1995,1,15,29.8,20.6,8,0
43321,1995,1,16,30.1,19.8,6,0
43321,1995,1,17,30.4,20,5,0
43321,1995,1,18,31.4,20.2,11,0
43321,1995,1,19,29.8,20.6,10,0
43321,1995,1,20,26.9,19.6,6,0.5
43321,1995,1,21,27.8,20,5,0
43321,1995,1,22,32,17.8,4,0
43321,1995,1,23,31.6,17.4,5,0
43321,1995,1,24,32.4,18.4,6,0
43321,1995,1,25,30.2,18.6,8,0
43321,1995,1,26,29.8,18.1,5,0
43321,1995,1,27,30,15.8,6,0
43321,1995,1,28,30.2,19.1,8,0
43321,1995,1,29,29.9,18.2,7,0
43321,1995,1,30,30,18,5,0
43321,1995,1,31,32.4,20.6,8,0
43321,1995,2,1,31.3,21.6,8,0
43321,1995,2,2,32,22,8,0
43321,1995,2,3,32.1,21.1,8,0
43321,1995,2,4,31.6,21.4,10,0
43321,1995,2,5,30.9,20.4,9,0
43321,1995,2,6,32,21.7,10,0
43321,1995,2,7,31.3,18,7,0
43321,1995,2,8,31.8,18.4,8,0
43321,1995,2,9,32.1,17.9,6,0
43321,1995,2,10,33.1,18.5,5,0
43321,1995,2,11,33.6,20.4,5,0
43321,1995,2,12,33.4,20,7,0
43321,1995,2,13,33.1,18,6,0
43321,1995,2,14,32.8,18.2,5,0
43321,1995,2,15,34.6,20.5,5,0
43321,1995,2,16,33,19.8,4,0
43321,1995,2,17,34.8,21.4,6,0
43321,1995,2,18,34.4,21.5,6,0
43321,1995,2,19,35.2,22,5,0
43321,1995,2,20,34.8,22.6,6,0
43321,1995,2,21,34.9,21,6,0
43321,1995,2,22,33.9,21.7,6,0
43321,1995,2,23,34,19.4,6,0
43321,1995,2,24,34.6,19.4,6,0
43321,1995,2,25,35,21.5,5,0
43321,1995,2,26,34.4,21,6,0
43321,1995,2,27,34.3,19.3,7,0
43321,1995,2,28,35.5,21.6,8,0
43321,1995,3,1,34.4,20.9,6,0
43321,1995,3,2,35.7,19.6,5,0
43321,1995,3,3,36,19.6,8,0
43321,1995,3,4,35.2,19.6,7,0
43321,1995,3,5,35.8,19.7,6,0
43321,1995,3,6,36.7,19.5,5,0
43321,1995,3,7,36.1,19.7,6,0
43321,1995,3,8,34.4,21.2,8,0
43321,1995,3,9,32.8,22.2,9,0
43321,1995,3,10,34.6,23.5,8,0
43321,1995,3,11,34,22.8,6,0
43321,1995,3,12,34.6,23.8,8,0
43321,1995,3,13,35.1,22.7,7,0
43321,1995,3,14,34.9,20.6,7,0
43321,1995,3,15,35.6,20.3,7,0
43321,1995,3,16,35.6,20.8,7,0
43321,1995,3,17,36.2,20.2,6,0
43321,1995,3,18,36,20.4,6,0
43321,1995,3,19,36.4,20.6,8,0
43321,1995,3,20,37,19.8,11,0
43321,1995,3,21,36,19.2,8,0
43321,1995,3,22,36.9,20.8,6,0
43321,1995,3,23,37.4,21.9,6,0
43321,1995,3,24,37.4,22.4,7,0
43321,1995,3,25,36.9,23,10,0
43321,1995,3,26,37.4,23.4,11,0
43321,1995,3,27,36.9,22.6,8,0.5
43321,1995,3,28,36,23.2,7,0.1
43321,1995,3,29,36,24,9,0
43321,1995,3,30,36.8,22.5,10,0
43321,1995,3,31,37.8,23,10,0
43321,1995,4,1,36.2,23.4,9,0
43321,1995,4,2,37.9,23.5,9,0
43321,1995,4,3,37.1,22.9,6,0
43321,1995,4,4,37.1,23.9,8,0
43321,1995,4,5,36.2,24.6,8,0
43321,1995,4,6,35.1,24.5,7,0
43321,1995,4,7,36.1,24.5,7,0
43321,1995,4,8,37.5,24.1,9,0
43321,1995,4,9,35.8,23.4,10,0
43321,1995,4,10,38,22.6,9,0
43321,1995,4,11,37,23.9,6,0
43321,1995,4,12,36.8,24.1,7,0
43321,1995,4,13,36.8,24.2,9,0
43321,1995,4,14,37.4,23.6,10,0
43321,1995,4,15,38.4,21.1,10,3.3
43321,1995,4,16,36,23.6,10,0
43321,1995,4,17,36.6,24.2,8,0
43321,1995,4,18,36.1,24.9,6,0
43321,1995,4,19,36.5,22,8,4
43321,1995,4,20,36.4,23.8,7,0
43321,1995,4,21,36,23.8,7,0
43321,1995,4,22,36.5,24.2,7,0
43321,1995,4,23,37.4,24.5,6,0
43321,1995,4,24,37.4,24.1,7,0
43321,1995,4,25,38,25.3,8,0
43321,1995,4,26,37.7,24.3,9,0
